"No.","Time","Time delta from previous captured frame","Reception Port","Source","Destination","CycleCounter","TransferStatus","Protocol","Length","Info"
"240","0.928280654","0.002376484","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","51712","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:51712 (Valid,Primary,Ok,Run)"
"242","0.933784200","0.000142300","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","51712","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:51712 (Valid,Primary,Ok,Run)"
"244","0.944281364","0.001863534","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","52224","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:52224 (Valid,Primary,Ok,Run)"
"246","0.949811460","0.000169890","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","52224","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:52224 (Valid,Primary,Ok,Run)"
"248","0.960282074","0.001225704","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","52736","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:52736 (Valid,Primary,Ok,Run)"
"250","0.967865520","0.002224280","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","52736","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:52736 (Valid,Primary,Ok,Run)"
"252","0.976282784","0.006297594","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","53248","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:53248 (Valid,Primary,Ok,Run)"
"254","0.985382200","0.003741300","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","53248","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:53248 (Valid,Primary,Ok,Run)"
"256","0.992283484","0.003754004","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","53760","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:53760 (Valid,Primary,Ok,Run)"
"257","0.997386900","0.005103416","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","53760","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:53760 (Valid,Primary,Ok,Run)"
"260","1.008284194","0.005749464","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","54272","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:54272 (Valid,Primary,Ok,Run)"
"262","1.014925420","0.001285180","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","54272","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:54272 (Valid,Primary,Ok,Run)"
"264","1.024284904","0.005710694","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","54784","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:54784 (Valid,Primary,Ok,Run)"
"266","1.029955850","0.000315940","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","54784","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:54784 (Valid,Primary,Ok,Run)"
"268","1.040285614","0.006680764","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","55296","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:55296 (Valid,Primary,Ok,Run)"
"270","1.046480010","0.000840430","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","55296","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:55296 (Valid,Primary,Ok,Run)"
"272","1.056286314","0.004085644","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","55808","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:55808 (Valid,Primary,Ok,Run)"
"273","1.061517230","0.005230916","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","55808","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:55808 (Valid,Primary,Ok,Run)"
